InvoiceNumber;DeliveryNoteNumber;CompanyCode;SalesOrg;Division;SoldToNumber;SoldToName;SoldToComMail;SoldToLanguage;SoldToStatus;InvoiceIssueDate;DocumentType;ShipToNumber;ShipToName;DeliveryNoteDate;ShippingPoint
1397698746;H0000188408;HU17;HU17;10;9123456;CEMPROM DOO;eva.molnar@cementkft.hu;HU;3H;18.2.2021;ZF2;100628510;C-Algyï¿½ï¿½i Betonï¿½ï¿½zem ;18.2.2021;H132
1397698746;H0000188409;HU17;HU17;10;9123456;CEMPROM DOO;eva.molnar@cementkft.hu;HU;3H;18.2.2021;ZF2;100628510;C-Algyï¿½ï¿½i Betonï¿½ï¿½zem ;18.2.2021;H132
1397698747;H0000188410;HU17;HU17;10;9123456;CEMPROM DOO;eva.molnar@cementkft.hu;HU;;18.2.2021;ZF2;100666609;C-Bï¿½ï¿½CS BETON Kft.-Kiskunfï¿½ï;18.2.2021;H131
1397698747;H0000188411;HU17;HU17;10;9123456;CEMPROM DOO;eva.molnar@cementkft.hu;HU;;18.2.2021;ZF2;100666609;C-Bï¿½ï¿½CS BETON Kft.-Kiskunfï¿½ï;18.2.2021;H131
1397698748;H0000188412;AT01;AT01;10;9123456;CEMPROM DOO;Buttula@kotzian.com,baumeister@kotzian.com,rechnung@bbg.at,sekr@bbg.at;Z1;3H;18.2.2021;ZF2;100270424;Kotzian Bruck/Leitha    A;18.2.2021;K101
1397698748;H0000188413;AT01;AT01;10;9123456;CEMPROM DOO;Buttula@kotzian.com,baumeister@kotzian.com,rechnung@bbg.at,sekr@bbg.at;Z1;3H;18.2.2021;ZF2;100270424;Kotzian Bruck/Leitha    A;18.2.2021;K101
1397698749;H0000188414;AT01;AT01;10;9123456;CEMPROM DOO;;Z1;;18.2.2021;ZF2;100702196;Springer Holding;18.2.2021;K101
1397698750;H0000188415;AT01;AT01;10;9123456;CEMPROM DOO;;Z1;;18.2.2021;ZF2;100702196;Springer Holding;18.2.2021;K101
1397698750;H0000188416;AT01;AT01;10;9123456;CEMPROM DOO;;Z1;;18.2.2021;ZF2;100702196;Springer Holding;18.2.2021;K101
1397698751;H0000188417;SK01;SK01;10;9123456;CEMPROM DOO;jaroslav.sturdik@leier.sk,leier@leier.sk;SK;3H;18.2.2021;ZF2;100370251;Leier;5.4.2021;K101
1397698751;H0000188418;SK01;SK01;10;9123456;CEMPROM DOO;jaroslav.sturdik@leier.sk,leier@leier.sk;SK;3H;18.2.2021;ZF2;100370251;Leier;5.4.2021;K101
1397698752;H0000188419;RS01;RS02;10;9123456;CEMPROM DOO;baspromet@gmail.com;SH;3H;18.2.2021;ZF2;100421808;BAS PROMET DOO EXW POPOVAC;2.8.2021;S101
1397698752;H0000188420;RS01;RS02;10;9123456;CEMPROM DOO;baspromet@gmail.com;SH;3H;18.2.2021;ZF2;100421808;BAS PROMET DOO EXW POPOVAC;2.9.2021;S101
1397698752;H0000188421;RS01;RS01;10;9123456;CEMPROM DOO;srtranskop@gmail.com;SH;;2.12.2020;ZF2;100265992;TRANSKOP SZR OREOVICA;1.12.2020;S101
1397698752;H0000188422;RS01;RS01;10;9123456;CEMPROM DOO;srtranskop@gmail.com;SH;;2.12.2020;ZF2;100265992;TRANSKOP SZR OREOVICA;1.12.2020;S101
1397698752;H0000188423;RS01;RS01;10;9123456;CEMPROM DOO;srtranskop@gmail.com;SH;;2.12.2020;ZF2;100265992;TRANSKOP SZR OREOVICA;2.12.2020;S101
1397698753;H0000188424;HU17;HU17;99;9123456;CEMPROM DOO;eva.molnar@cementkft.hu;HU;3H;18.2.2021;ZF2;100258183;C-Autark  Kft. Szentes;18.2.2021;H131
1397698753;H0000188425;HU17;HU17;99;9123456;CEMPROM DOO;eva.molnar@cementkft.hu;HU;3H;18.2.2021;ZF2;100258183;C-Autark  Kft. Szentes;18.2.2021;H131
1397698754;H0000188426;SK01;SK01;30;9123456;CEMPROM DOO;zpsv@zpsv.sk;SK;;18.2.2021;ZF2;100271243;}PSV, a.s.-aHa;5.4.2021;K102
1397698754;H0000188427;SK01;SK01;30;9123456;CEMPROM DOO;zpsv@zpsv.sk;SK;;18.2.2021;ZF2;100271243;}PSV, a.s.-aHa;5.4.2021;K102
1397698754;H0000188428;SK01;SK01;30;9123456;CEMPROM DOO;zpsv@zpsv.sk;SK;;18.2.2021;ZF2;100271243;}PSV, a.s.-aHa;5.4.2021;K102
1397698754;H0000188429;SK01;SK01;30;9123456;CEMPROM DOO;zpsv@zpsv.sk;SK;;18.2.2021;ZF2;100271243;}PSV, a.s.-aHa;5.4.2021;K102
1397698754;H0000188430;SK01;SK01;30;9123456;CEMPROM DOO;zpsv@zpsv.sk;SK;;18.2.2021;ZF2;100271243;}PSV, a.s.-aHa;5.4.2021;K102
1397698755;H0000188431;RS01;RS01;40;9123456;CEMPROM DOO;baleja.v.laole@gmail.com;SH;3E;18.2.2021;ZF2;100265062;BALEJA VELIKO LAOLE;18.2.2021;S101
1397698756;H0000188432;AT01;AT01;40;9123456;CEMPROM DOO;info@lasselsberger.com,rechnung@lasselsberger.com;Z1;3H;18.2.2021;ZF2;100565675;Lasselsberger Karl-Mierkastrasse;18.2.2021;K101
1397698756;H0000188433;AT01;AT01;40;9123456;CEMPROM DOO;info@lasselsberger.com,rechnung@lasselsberger.com;Z1;3H;18.2.2021;ZF2;100565675;Lasselsberger Karl-Mierkastrasse;18.2.2021;K101
1397698756;H0000188434;AT01;AT01;40;9123456;CEMPROM DOO;info@lasselsberger.com,rechnung@lasselsberger.com;Z1;3H;18.2.2021;ZF2;100565675;Lasselsberger Karl-Mierkastrasse;18.2.2021;K101
1397698757;H0000188435;SK01;SK01;40;9123456;CEMPROM DOO;faktury@stavebninydek.sk,zilina@dektrade.sk;SK;3H;18.2.2021;ZF2;100358137;Stavebniny DEK - Levice Plastmont;5.4.2021;K101
1397698758;H0000188436;RS01;RS01;40;9123456;CEMPROM DOO;cemprom.fin@gmail.com,cempromcacak@gmail.com;SH;3E;2.12.2020;ZF2;100709902;CEMPROM DOO ï¿½ï¿½Aï¿½ï¿½AK PRELJIN;1.12.2020;S101
1397698758;H0000188437;RS01;RS01;40;9123456;CEMPROM DOO;cemprom.fin@gmail.com,cempromcacak@gmail.com;SH;3E;2.12.2020;ZF2;100709902;CEMPROM DOO ï¿½ï¿½Aï¿½ï¿½AK PRELJIN;1.12.2020;S101
